61340;VIAJES PACIFICO SAC;41;OLLA - MAPI;12/05/2013;EJECUTIVO;10;44;MAPI - OLLA;12/05/2013;EJECUTIVO;10
61341;VIAJES PACIFICO SAC;41;OLLA - MAPI;13/05/2013;EJECUTIVO;10;44;MAPI - OLLA;13/05/2013;EJECUTIVO;10
61342;VIAJES PACIFICO SAC;41;OLLA - MAPI;16/05/2013;EJECUTIVO;10;44;MAPI - OLLA;16/05/2013;EJECUTIVO;10
61343;VIAJES PACIFICO SAC;43;OLLA - MAPI;17/05/2013;TURISTA;10;46;MAPI - OLLA;17/05/2013;EJECUTIVO;10
61344;VIAJES PACIFICO SAC;43;OLLA - MAPI;18/05/2013;EJECUTIVO;10;46;MAPI - OLLA;18/05/2013;EJECUTIVO;10
61345;VIAJES PACIFICO SAC;41;OLLA - MAPI;19/05/2013;EJECUTIVO;10;44;MAPI - OLLA;19/05/2013;EJECUTIVO;10
61346;VIAJES PACIFICO SAC;41;OLLA - MAPI;20/05/2013;EJECUTIVO;10;44;MAPI - OLLA;20/05/2013;EJECUTIVO;10
61347;VIAJES PACIFICO SAC;41;OLLA - MAPI;21/05/2013;EJECUTIVO;10;44;MAPI - OLLA;21/05/2013;EJECUTIVO;10
61348;VIAJES PACIFICO SAC;41;OLLA - MAPI;22/05/2013;EJECUTIVO;10;44;MAPI - OLLA;22/05/2013;EJECUTIVO;10
61349;VIAJES PACIFICO SAC;43;OLLA - MAPI;23/05/2013;EJECUTIVO;10;46;MAPI - OLLA;23/05/2013;EJECUTIVO;10
61350;VIAJES PACIFICO SAC;41;OLLA - MAPI;24/05/2013;EJECUTIVO;10;44;MAPI - OLLA;24/05/2013;EJECUTIVO;10
61351;VIAJES PACIFICO SAC;41;OLLA - MAPI;25/05/2013;EJECUTIVO;10;46;MAPI - OLLA;25/05/2013;EJECUTIVO;10
